Node_id ; adjacency_list
3864519393 > [1730259135]
1585470009 > [1585470031]
1585470010 > [2024263258]
1809870683 > [433733064]
747841582 > [278124941, 278124942]
356717052 > [1862681255]
2167440880 > [2167440884, 2167440876]
3066475014 > [3066472530, 747969794]
2167440882 > [1805732519, 2167440878]
747841616 > [2838919822, 278124949]
1585470020 > [1585470031, 4822208536]
1809870628 > [433733080, 433733081]
2167440884 > [2167440889, 2167440880]
2167440886 > [1805732519, 2167440898]
1585470023 > [1585469994, 1585470073]
2167440889 > [2167440894, 2167440884]
2167440891 > [2167440901]
747841624 > [747841555, 747841604]
1357337642 > [1357336950, 1357337285]
2167440894 > [2167440889]
1585470031 > [1585470003, 1585470020]
2167440865 > [2167440868]
1585470034 > [1585469984, 1585470050]
2167440866 > [2167440871, 2167440863]
4938474120 > [4565272135, 4565272137]
2167440868 > [2167440865, 2167440871]
2167440871 > [2167440878, 2167440866]
747841604 > [747841624, 747841559]
747841611 > [2377104749, 2377104745]
2167440874 > [2167440876]
747841609 > [747841565, 2838919803]
2037677480 > [2037677673, 2037677402]
2167440876 > [2167440880, 2167440874]
747841615 > [747841571, 747841547]
2167440878 > [2167440882, 2167440871]
747841613 > [747841569, 747841523]
747841612 > [747841544, 747841591]
1585470048 > [2047607779]
2167440849 > [2167440855, 2167440846]
1585470050 > [1585470034]
2167440851 > [2167440853]
2167440853 > [2167440855, 2167440851]
2167440855 > [2167440857, 2167440849]
2167440857 > [2167440859, 2167440855]
1585470058 > [1585470069]
1585470059 > [2024263254, 1585469994]
2167440859 > [2167440863, 2167440857]
1585470063 > [2024263254]
2167440863 > [2167440866, 2167440859]
1585470067 > [1585470101]
1809870611 > [433733079, 433733080]
3182410076 > [3134535951]
1585470069 > [1585470058, 1585469960]
1585470070 > [1585470088, 416479356]
1585470073 > [1585470023, 1585469985]
1585470075 > [1585469996]
2167440846 > [2167440849, 2167440821]
1534418544 > [4050091442]
1534418532 > [346095619, 346094166]
1534418529 > [1534418511]
1534418536 > [1619910027, 1619910026]
1809870591 > [433733078, 433733079]
2296876486 > [1293171007, 2391610408]
2458097569 > [356754174, 2458097575]
2458097575 > [2458097569, 356754198]
1534418512 > [2154659880, 1534418524]
2458097579 > [2458097577]
1534418524 > [1534418512, 2473040412]
2458097577 > [2456679911, 2458097579]
2458097583 > [2458097579, 2458097595]
1534418520 > [1534418510]
2296876488 > [1293282918, 1360028725]
1534418501 > [2404351211, 2154659880]
2021227849 > [2021227814, 2021227834]
1534418497 > [1534418507, 1534418504]
2021227853 > [2021227852, 2021227830]
2021227852 > [2021227817, 2021227853]
2458097595 > [2458097575]
2021227840 > [3629427472]
1534418511 > [4848852597, 1534418529]
2021227843 > [2021227829, 2021227811]
1534418510 > [1534418520, 2404788016]
2021227845 > [2021227837, 2021227831]
1534418504 > [1534418497, 4848852597]
1534418507 > [4848851759, 1534418497]
2021227846 > [2021227830, 1730258875]
2021227835 > [1730258892, 1730259097]
418586032 > [2259612296, 418586023]
2458097600 > [2458097595]
2021227834 > [2021227849, 1730258977]
2021227837 > [3353350189, 2021227845]
2021227836 > [2021227835]
1534418493 > [1534418488]
2021227825 > [2021227822, 2021227826]
2021227826 > [2021227825, 2179461147]
2021227829 > [1052190836, 2021227843]
1534418488 > [1534418493]
2021227828 > [3353350186, 2021227818]
1438404849 > [4807697042]
2021227831 > [2021227845]
2021227830 > [1730259035, 2021227846]
2021227817 > [2021227813, 2021227852]
418586018 > [2990375001, 2259612295]
2021227818 > [2021227828, 2021227814]
1534418465 > [4763690226, 4763690224]
418586023 > [418586032, 418586025]
1534418464 > [1534418463, 2473040409]
1534418467 > [4763690224, 2404351211]
2021227822 > [2021227811, 2021227825]
418586026 > [418586025, 418586028]
418586025 > [418586023, 418586026]
2021227811 > [2021227843, 2021227822]
2296876476 > [353840656, 4019667880]
2021227813 > [2021227817]
418586028 > [418586026, 3291915089]
2021227814 > [2021227818, 2021227849]
4343924619 > [4336496989]
4343924622 > [4343924621, 4343924623]
4343924623 > [4343924622, 4343924624]
4343924620 > [4336496989, 4343924621]
4343924621 > [4343924620, 4343924622]
1534418461 > [1534418443, 1534418462]
1534418463 > [1534418462, 1534418464]
1534418462 > [1534418461, 1534418463]
